""C-ID #"",""C-ID Descriptor"",""Institution"",""Institution type"",""Local Course Title(s)"",""Local Dept. Name & Number"",""Approval date"",""COR effective term""
""SOCI 110"",""Introduction to Sociology"",""Rio Hondo College"",""California Community College"",""Introduction to Sociology"",""SOC 101"",""2023-08-18"",""Spring 2012""
""SOCI 115"",""Social Problems"",""Rio Hondo College"",""California Community College"",""Major Social Problems"",""SOC 102"",""2023-08-18"",""Spring 2013""
""SOCI 130"",""Introduction to Marriage and Family"",""Rio Hondo College"",""California Community College"",""Marriage, Family and Intimate Relationships"",""SOC 114"",""2023-08-18"",""Spring 2012""
""SOCI 110"",""Introduction to Sociology"",""Rio Hondo College"",""California Community College"",""Introduction to Sociology Honors"",""SOC 101H"",""2023-08-18"",""Spring 2012""
""SOCI 160"",""Introduction to Crime"",""Rio Hondo College"",""California Community College"",""Introduction to Criminology"",""SOC 127"",""2023-08-18"",""Spring 2012""
""PSY 150"",""Introduction to Biological Psychology"",""Rio Hondo College"",""California Community College"",""Biological Psychology"",""PSY 210"",""2023-08-18"",""Spring 2012""
""PSY 200"",""Introduction to Research Methods in Psychology"",""Rio Hondo College"",""California Community College"",""Research Methods in Psychology"",""PSY 200"",""2023-08-18"",""Fall 2012""
""PSY 110"",""Introductory Psychology"",""Rio Hondo College"",""California Community College"",""Introductory Psychology Honors"",""PSY 101H"",""2023-08-18"",""Spring 2012""
""PSY 110"",""Introductory Psychology"",""Rio Hondo College"",""California Community College"",""Introductory Psychology"",""PSY 101"",""2023-08-18"",""Spring 2012""
""SOCI 125"",""Introduction to Statistics in Sociology"",""Rio Hondo College"",""California Community College"",""Statistics for the Behavioral Sciences"",""PSY 190"",""2023-08-18"",""Spring 2012""
""KIN 100"",""Introduction to Kinesiology"",""Rio Hondo College"",""California Community College"",""Introduction to Kinesiology"",""PETH 194"",""2023-08-18"",""Fall 2014""
""KIN 101"",""First Aid, CPR and AED"",""Rio Hondo College"",""California Community College"",""Standard First Aid and CPR"",""KIN 193"",""2023-08-18"",""Fall 2012""
""MATH 210"",""Single Variable Calculus I Early Transcendentals"",""Rio Hondo College"",""California Community College"",""Calculus I"",""MATH 190"",""2023-08-18"",""Spring 2015""
""COMM 130"",""Interpersonal Communication"",""Rio Hondo College"",""California Community College"",""Interpersonal Communication"",""SPCH 100"",""2023-08-18"",""Spring 2013""
""COMM 170"",""Oral Interpretation of Literature"",""Rio Hondo College"",""California Community College"",""Oral Interpretation"",""SPCH  130"",""2023-08-18"",""Spring 2013""
""COMM 110"",""Public Speaking"",""Rio Hondo College"",""California Community College"",""Public Speaking"",""SPCH 101"",""2023-08-18"",""Spring 2013""
""PSY 120"",""Introduction to Abnormal Psychology"",""Rio Hondo College"",""California Community College"",""Introduction to Abnormal Psychology"",""PSY 114"",""2023-08-18"",""Fall 2014""
""THTR 113"",""Theatre History 1"",""Rio Hondo College"",""California Community College"",""The History and Development of the Theatre"",""THTR 105"",""2023-08-18"",""Fall 2013""
""THTR 113"",""Theatre History 1"",""Rio Hondo College"",""California Community College"",""The History and Development of the Theatre"",""THTR 105H"",""2023-08-18"",""Fall 2013""
""COMM 120"",""Argumentation or Argumentation and Debate"",""Rio Hondo College"",""California Community College"",""Argumentation and Debate"",""SPCH 140"",""2023-08-18"",""Summer 2013""
""ECE 120"",""Principles & Practices of Teaching Young Children"",""Rio Hondo College"",""California Community College"",""Principles and Practices of Early Childhood Education"",""CD 110"",""2023-08-18"",""Spring 2014""
""ECE 200"",""Observation and Assessment"",""Rio Hondo College"",""California Community College"",""Observation and Assessment"",""CD 114"",""2023-08-18"",""Spring 2011""
""CDEV 100"",""Child Growth and Development"",""Rio Hondo College"",""California Community College"",""Child Growth and Development"",""CD 106"",""2023-08-18"",""Spring 2014""
""CDEV 110"",""Child Family and Community"",""Rio Hondo College"",""California Community College"",""Child, Family and Community"",""CD 208"",""2023-08-18"",""Spring 2014""
""ECE 220"",""Health, Safety and Nutrition"",""Rio Hondo College"",""California Community College"",""Nutrition, Health and Safety for Children"",""CD 102"",""2023-08-18"",""Spring 2013""
""ECE 230"",""Teaching in a Diverse Society"",""Rio Hondo College"",""California Community College"",""Diversity Issues During Early Childhood, School Age and Adolescence"",""CD 224"",""2023-08-18"",""Spring 2014""
""ECE 130"",""Introduction to Curriculum"",""Rio Hondo College"",""California Community College"",""Early Childhood Educatiion Curriculum"",""CD 111"",""2023-08-18"",""Fall 2014""
""ECE 210"",""Practicum in Early Childhood Education"",""Rio Hondo College"",""California Community College"",""Early Childhood Education Practicum"",""CD  228"",""2023-08-18"",""Fall 2012""
""ACCT 110"",""Financial Accounting"",""Rio Hondo College"",""California Community College"",""Financial Accounting"",""ACCT 101"",""2023-08-18"",""Fall 2014""
""COMM 160 B"",""Forensics (Speech & Debate)"",""Rio Hondo College"",""California Community College"",""Forensics: Speech and Debate Team"",""SPCH  110"",""2023-08-18"",""Fall 2011""
""MATH 210"",""Single Variable Calculus I Early Transcendentals"",""Rio Hondo College"",""California Community College"",""Calculus I Honors"",""MATH  190H"",""2023-08-18"",""Spring 2015""
""ACCT 120"",""Managerial Accounting"",""Rio Hondo College"",""California Community College"",""Managerial Accounting"",""ACCT 102"",""2023-08-18"",""Fall 2014""
""MATH 240"",""Ordinary Differential Equations"",""Rio Hondo College"",""California Community College"",""Differential Equations"",""MATH 270"",""2023-08-18"",""Fall 2010""
""MATH 230"",""Multivariable Calculus"",""Rio Hondo College"",""California Community College"",""Calculus III"",""MATH 250"",""2023-08-18"",""Fall 2015""
""MATH 250"",""Introduction to Linear Algebra"",""Rio Hondo College"",""California Community College"",""Linear Algebra"",""MATH 260"",""2023-08-18"",""Fall 2015""
""ENGL 130"",""Survey of American Literature 1"",""Rio Hondo College"",""California Community College"",""American Literature through 1865 Honors"",""LIT 112AH"",""2023-08-18"",""Fall 2013""
""ENGL 135"",""Survey of American Literature 2"",""Rio Hondo College"",""California Community College"",""American Literature after 1865 Honors"",""LIT 112BH"",""2023-08-18"",""Fall 2012""
""ENGL 130"",""Survey of American Literature 1"",""Rio Hondo College"",""California Community College"",""American Literature through 1865"",""LIT 112A"",""2023-08-18"",""Fall 2014""
""PHYS 205"",""Calculus-Based Physics for Scientists and Engineers: A"",""Rio Hondo College"",""California Community College"",""Physics for Scientists and Engineers-I"",""PHY 211"",""2023-08-18"",""Fall 2013""
